d_cm,density_r,doserate_Gy_s,ks,r_cm,sigma_cm
0.9,0.08223733287261978,100.0,1.0256160061433381,4.949999999999998,3.3
0.9,0.03428162067425407,100.0,1.010917244894379,6.6,3.3
0.5,0.2533088183243241,30.0,1.0026510484164517,0.0,3.3
0.5,0.22354424756858,30.0,1.002387633781945,1.65,3.3
0.5,0.1536395646892799,30.0,1.0015691733889889,3.3,3.3
0.5,0.08223733287261978,30.0,1.000903954621826,4.949999999999998,3.3
0.5,0.03428162067425407,30.0,1.0004808163342571,6.6,3.3
0.5,0.2533088183243241,300.0,1.0249462653948604,0.0,3.3
0.5,0.22354424756858,300.0,1.0218689583131728,1.65,3.3
0.5,0.1536395646892799,300.0,1.0151837155985568,3.3,3.3
0.5,0.08223733287261978,300.0,1.0081170998775242,4.949999999999998,3.3
0.5,0.03428162067425407,300.0,1.0035492171224696,6.6,3.3
0.5,0.2533088183243241,10.0,1.0009417958240925,0.0,3.3
0.5,0.22354424756858,10.0,1.000846773496376,1.65,3.3
0.5,0.1536395646892799,10.0,1.0006644618236575,3.3,3.3
0.5,0.08223733287261978,10.0,1.0004106953020124,4.949999999999998,3.3
0.5,0.03428162067425407,10.0,1.0002346123801251,6.6,3.3
0.5,0.2533088183243241,100.0,1.008512239644854,0.0,3.3
0.5,0.22354424756858,100.0,1.0074888731271048,1.65,3.3
0.5,0.1536395646892799,100.0,1.0050971214343676,3.3,3.3
0.5,0.08223733287261978,100.0,1.0028329135066214,4.949999999999998,3.3
0.5,0.03428162067425407,100.0,1.0013173036395262,6.6,3.3
