,E_MeV_u,voltage_V,electrode_gap_cm,particle,grid_size_um,numba_parallel_time,cython_time
0,10,300,0.5,proton,10,0.1560976505279541,0.8808627128601074
1,50,300,0.5,proton,10,0.15039777755737305,0.8801424503326416
2,100,300,0.5,proton,10,0.14804482460021973,0.8799788951873779
3,150,300,0.5,proton,10,0.14786982536315918,0.880164623260498
4,200,300,0.5,proton,10,0.14678001403808594,0.8801147937774658
5,250,300,0.5,proton,10,0.1487445831298828,0.8800702095031738
