,E_MeV_u,voltage_V,electrode_gap_cm,particle,grid_size_um,numba_parallel_time,cython_time
0,250,50,0.5,proton,10,0.24110102653503418,1.4721078872680664
1,250,100,0.5,proton,10,0.1816568374633789,1.0979382991790771
2,250,150,0.5,proton,10,0.1630406379699707,0.9859135150909424
3,250,200,0.5,proton,10,0.15464019775390625,0.930567741394043
4,250,250,0.5,proton,10,0.1539442539215088,0.901824951171875
5,250,300,0.5,proton,10,0.14579033851623535,0.8801703453063965
