E_MeV_u,LET_keV_um,a0_nm,beta,ks_Gauss,ks_Geiss,particle,scale,voltage_V,water_LET_keV_um
5.0,0.28599502759623263,0.8,0.0,1.006524711742124,1.012152075059203,carbon,3.0,50.0,271.79344158091214
5.0,0.28599502759623263,0.9,0.0,1.006524711742124,1.0099313933182172,carbon,3.0,50.0,271.79344158091214
5.0,0.28599502759623263,1.0,0.0,1.006524711742124,1.0084060836513313,carbon,3.0,50.0,271.79344158091214
5.0,0.28599502759623263,1.25,0.0,1.006524711742124,1.0062253255379563,carbon,3.0,50.0,271.79344158091214
5.0,0.28599502759623263,1.5,0.0,1.006524711742124,1.0051671955933918,carbon,3.0,50.0,271.79344158091214
25.0,0.08250539715068914,0.8,0.0,1.0018109739770509,1.002670030895561,carbon,3.0,50.0,77.77696946605748
25.0,0.08250539715068914,0.9,0.0,1.0018109739770509,1.0021754856551477,carbon,3.0,50.0,77.77696946605748
25.0,0.08250539715068914,1.0,0.0,1.0018109739770509,1.0018362791757538,carbon,3.0,50.0,77.77696946605748
25.0,0.08250539715068914,1.25,0.0,1.0018109739770509,1.001351811043752,carbon,3.0,50.0,77.77696946605748
25.0,0.08250539715068914,1.5,0.0,1.0018109739770509,1.0011164839526765,carbon,3.0,50.0,77.77696946605748
45.0,0.051464350210226516,0.8,0.0,1.0011295075872444,1.0015472401983758,carbon,3.0,50.0,48.438119541233384
45.0,0.051464350210226516,0.9,0.0,1.0011295075872444,1.0012596901144146,carbon,3.0,50.0,48.438119541233384
45.0,0.051464350210226516,1.0,0.0,1.0011295075872444,1.0010625333808267,carbon,3.0,50.0,48.438119541233384
45.0,0.051464350210226516,1.25,0.0,1.0011295075872444,1.000781021802415,carbon,3.0,50.0,48.438119541233384
45.0,0.051464350210226516,1.5,0.0,1.0011295075872444,1.0006442433066218,carbon,3.0,50.0,48.438119541233384
65.0,0.03854924139267812,0.8,0.0,1.00084612078586,1.0011098026199994,carbon,3.0,50.0,36.245993197869744
65.0,0.03854924139267812,0.9,0.0,1.00084612078586,1.000903168257508,carbon,3.0,50.0,36.245993197869744
65.0,0.03854924139267812,1.0,0.0,1.00084612078586,1.000761519720602,carbon,3.0,50.0,36.245993197869744
65.0,0.03854924139267812,1.25,0.0,1.00084612078586,1.0005592960397804,carbon,3.0,50.0,36.245993197869744
65.0,0.03854924139267812,1.5,0.0,1.00084612078586,1.0004610275004133,carbon,3.0,50.0,36.245993197869744
85.0,0.03137584757455153,0.8,0.0,1.0006887072280508,1.0008761715576326,carbon,3.0,50.0,29.47441959182229
85.0,0.03137584757455153,0.9,0.0,1.0006887072280508,1.0007128349664638,carbon,3.0,50.0,29.47441959182229
85.0,0.03137584757455153,1.0,0.0,1.0006887072280508,1.000600882642429,carbon,3.0,50.0,29.47441959182229
85.0,0.03137584757455153,1.25,0.0,1.0006887072280508,1.0004410707708418,carbon,3.0,50.0,29.47441959182229
85.0,0.03137584757455153,1.5,0.0,1.0006887072280508,1.0003634046863106,carbon,3.0,50.0,29.47441959182229
105.0,0.026800911712201014,0.8,0.0,1.0005883065485544,1.0007311241201078,carbon,3.0,50.0,25.163272540295456
105.0,0.026800911712201014,0.9,0.0,1.0005883065485544,1.0005947022066373,carbon,3.0,50.0,25.163272540295456
105.0,0.026800911712201014,1.0,0.0,1.0005883065485544,1.0005012070628514,carbon,3.0,50.0,25.163272540295456
105.0,0.026800911712201014,1.25,0.0,1.0005883065485544,1.0003677529307429,carbon,3.0,50.0,25.163272540295456
105.0,0.026800911712201014,1.5,0.0,1.0005883065485544,1.0003028919693802,carbon,3.0,50.0,25.163272540295456
125.0,0.023613868295725544,0.8,0.0,1.0005183607607375,1.0006321290098403,carbon,3.0,50.0,22.166580382703586
125.0,0.023613868295725544,0.9,0.0,1.0005183607607375,1.0005140934949095,carbon,3.0,50.0,22.166580382703586
125.0,0.023613868295725544,1.0,0.0,1.0005183607607375,1.0004332058400691,carbon,3.0,50.0,22.166580382703586
125.0,0.023613868295725544,1.25,0.0,1.0005183607607375,1.0003177544799837,carbon,3.0,50.0,22.166580382703586
125.0,0.023613868295725544,1.5,0.0,1.0005183607607375,1.0002616402732487,carbon,3.0,50.0,22.166580382703586
145.0,0.021268651723698694,0.8,0.0,1.000466887703394,1.0005604205513632,carbon,3.0,50.0,19.96008790844301
145.0,0.021268651723698694,0.9,0.0,1.000466887703394,1.0004557129292813,carbon,3.0,50.0,19.96008790844301
145.0,0.021268651723698694,1.0,0.0,1.000466887703394,1.0003839634512828,carbon,3.0,50.0,19.96008790844301
145.0,0.021268651723698694,1.25,0.0,1.000466887703394,1.0002815601471073,carbon,3.0,50.0,19.96008790844301
145.0,0.021268651723698694,1.5,0.0,1.000466887703394,1.0002317857700753,carbon,3.0,50.0,19.96008790844301
165.0,0.019467938033115657,0.8,0.0,1.000427364534827,1.0005060630219664,carbon,3.0,50.0,18.26561402530715
165.0,0.019467938033115657,0.9,0.0,1.000427364534827,1.0004114641933697,carbon,3.0,50.0,18.26561402530715
165.0,0.019467938033115657,1.0,0.0,1.000427364534827,1.0003466453024341,carbon,3.0,50.0,18.26561402530715
165.0,0.019467938033115657,1.25,0.0,1.000427364534827,1.000254137468417,carbon,3.0,50.0,18.26561402530715
165.0,0.019467938033115657,1.5,0.0,1.000427364534827,1.0002091713481889,carbon,3.0,50.0,18.26561402530715
185.0,0.018045303723293306,0.8,0.0,1.0003961391354372,1.0004635532251114,carbon,3.0,50.0,16.925270811266728
185.0,0.018045303723293306,0.9,0.0,1.0003961391354372,1.0003768635071137,carbon,3.0,50.0,16.925270811266728
185.0,0.018045303723293306,1.0,0.0,1.0003961391354372,1.0003174668272112,carbon,3.0,50.0,16.925270811266728
185.0,0.018045303723293306,1.25,0.0,1.0003961391354372,1.0002327005253446,carbon,3.0,50.0,16.925270811266728
185.0,0.018045303723293306,1.5,0.0,1.0003961391354372,1.0001914961875606,carbon,3.0,50.0,16.925270811266728
205.0,0.016890363441849594,0.8,0.0,1.0003707881516795,1.000429343112061,carbon,3.0,50.0,15.838142625964563
205.0,0.016890363441849594,0.9,0.0,1.0003707881516795,1.0003490208171986,carbon,3.0,50.0,15.838142625964563
205.0,0.016890363441849594,1.0,0.0,1.0003707881516795,1.000293989231805,carbon,3.0,50.0,15.838142625964563
205.0,0.016890363441849594,1.25,0.0,1.0003707881516795,1.0002154549738151,carbon,3.0,50.0,15.838142625964563
205.0,0.016890363441849594,1.5,0.0,1.0003707881516795,1.000177279017216,carbon,3.0,50.0,15.838142625964563
225.0,0.01593140079742349,0.8,0.0,1.0003497392084408,1.0004011594407116,carbon,3.0,50.0,14.939529472401658
225.0,0.01593140079742349,0.9,0.0,1.0003497392084408,1.0003260846979813,carbon,3.0,50.0,14.939529472401658
225.0,0.01593140079742349,1.0,0.0,1.0003497392084408,1.0002746503584317,carbon,3.0,50.0,14.939529472401658
225.0,0.01593140079742349,1.25,0.0,1.0003497392084408,1.0002012517448002,carbon,3.0,50.0,14.939529472401658
225.0,0.01593140079742349,1.5,0.0,1.0003497392084408,1.0001655714551168,carbon,3.0,50.0,14.939529472401658
245.0,0.015126775809979232,0.8,0.0,1.000332077506904,1.0003776502287631,carbon,3.0,50.0,14.184371252254019
245.0,0.015126775809979232,0.9,0.0,1.000332077506904,1.0003069538954137,carbon,3.0,50.0,14.184371252254019
245.0,0.015126775809979232,1.0,0.0,1.000332077506904,1.0002585209054924,carbon,3.0,50.0,14.184371252254019
245.0,0.015126775809979232,1.25,0.0,1.000332077506904,1.0001894071050994,carbon,3.0,50.0,14.184371252254019
245.0,0.015126775809979232,1.5,0.0,1.000332077506904,1.0001558090654703,carbon,3.0,50.0,14.184371252254019
265.0,0.014445180371893525,0.8,0.0,1.000317116353633,1.0003578217987956,carbon,3.0,50.0,13.540461078690438
265.0,0.014445180371893525,0.9,0.0,1.000317116353633,1.000290819160193,carbon,3.0,50.0,13.540461078690438
265.0,0.014445180371893525,1.0,0.0,1.000317116353633,1.0002449180954185,carbon,3.0,50.0,13.540461078690438
265.0,0.014445180371893525,1.25,0.0,1.000317116353633,1.0001794188820652,carbon,3.0,50.0,13.540461078690438
265.0,0.014445180371893525,1.5,0.0,1.000317116353633,1.000147577419242,carbon,3.0,50.0,13.540461078690438
5.0,0.28599502759623263,0.8,0.0,1.0035764594595753,1.0097470128835797,carbon,3.0,150.0,271.79344158091214
5.0,0.28599502759623263,0.9,0.0,1.0035764594595753,1.0078653324350435,carbon,3.0,150.0,271.79344158091214
5.0,0.28599502759623263,1.0,0.0,1.0035764594595753,1.006571863343194,carbon,3.0,150.0,271.79344158091214
5.0,0.28599502759623263,1.25,0.0,1.0035764594595753,1.004719585417762,carbon,3.0,150.0,271.79344158091214
5.0,0.28599502759623263,1.5,0.0,1.0035764594595753,1.0038174336747088,carbon,3.0,150.0,271.79344158091214
25.0,0.08250539715068914,0.8,0.0,1.0009922423135982,1.0021426165984542,carbon,3.0,150.0,77.77696946605748
25.0,0.08250539715068914,0.9,0.0,1.0009922423135982,1.0017235917218874,carbon,3.0,150.0,77.77696946605748
25.0,0.08250539715068914,1.0,0.0,1.0009922423135982,1.0014360944841765,carbon,3.0,150.0,77.77696946605748
25.0,0.08250539715068914,1.25,0.0,1.0009922423135982,1.0010251365398104,carbon,3.0,150.0,77.77696946605748
25.0,0.08250539715068914,1.5,0.0,1.0009922423135982,1.0008250574131323,carbon,3.0,150.0,77.77696946605748
45.0,0.051464350210226516,0.8,0.0,1.0006188245699068,1.0012416816166927,carbon,3.0,150.0,48.438119541233384
45.0,0.051464350210226516,0.9,0.0,1.0006188245699068,1.0009980722575504,carbon,3.0,150.0,48.438119541233384
45.0,0.051464350210226516,1.0,0.0,1.0006188245699068,1.0008310064331962,carbon,3.0,150.0,48.438119541233384
45.0,0.051464350210226516,1.25,0.0,1.0006188245699068,1.000592302166583,carbon,3.0,150.0,48.438119541233384
45.0,0.051464350210226516,1.5,0.0,1.0006188245699068,1.0004760964621167,carbon,3.0,150.0,48.438119541233384
65.0,0.03854924139267812,0.8,0.0,1.0004635530697361,1.0008906513412252,carbon,3.0,150.0,36.245993197869744
65.0,0.03854924139267812,0.9,0.0,1.0004635530697361,1.0007156072646153,carbon,3.0,150.0,36.245993197869744
65.0,0.03854924139267812,1.0,0.0,1.0004635530697361,1.0005955932383848,carbon,3.0,150.0,36.245993197869744
65.0,0.03854924139267812,1.25,0.0,1.0004635530697361,1.0004241578539408,carbon,3.0,150.0,36.245993197869744
65.0,0.03854924139267812,1.5,0.0,1.0004635530697361,1.0003407038555745,carbon,3.0,150.0,36.245993197869744
85.0,0.03137584757455153,0.8,0.0,1.000377307517876,1.0007031632850525,carbon,3.0,150.0,29.47441959182229
85.0,0.03137584757455153,0.9,0.0,1.000377307517876,1.0005648059183658,carbon,3.0,150.0,29.47441959182229
85.0,0.03137584757455153,1.0,0.0,1.000377307517876,1.000469961077754,carbon,3.0,150.0,29.47441959182229
85.0,0.03137584757455153,1.25,0.0,1.000377307517876,1.000334500703219,carbon,3.0,150.0,29.47441959182229
85.0,0.03137584757455153,1.5,0.0,1.000377307517876,1.0002685613414972,carbon,3.0,150.0,29.47441959182229
105.0,0.026800911712201014,0.8,0.0,1.000322300139683,1.0005867610602064,carbon,3.0,150.0,25.163272540295456
105.0,0.026800911712201014,0.9,0.0,1.000322300139683,1.0004712077023197,carbon,3.0,150.0,25.163272540295456
105.0,0.026800911712201014,1.0,0.0,1.000322300139683,1.0003920050531192,carbon,3.0,150.0,25.163272540295456
105.0,0.026800911712201014,1.25,0.0,1.000322300139683,1.0002788988679088,carbon,3.0,150.0,25.163272540295456
105.0,0.026800911712201014,1.5,0.0,1.000322300139683,1.0002238424456862,carbon,3.0,150.0,25.163272540295456
125.0,0.023613868295725544,0.8,0.0,1.000283978942649,1.0005073153877286,carbon,3.0,150.0,22.166580382703586
125.0,0.023613868295725544,0.9,0.0,1.000283978942649,1.000407339667206,carbon,3.0,150.0,22.166580382703586
125.0,0.023613868295725544,1.0,0.0,1.000283978942649,1.0003388210008743,carbon,3.0,150.0,22.166580382703586
125.0,0.023613868295725544,1.25,0.0,1.000283978942649,1.000240981417367,carbon,3.0,150.0,22.166580382703586
125.0,0.023613868295725544,1.5,0.0,1.000283978942649,1.0001933572417916,carbon,3.0,150.0,22.166580382703586
145.0,0.021268651723698694,0.8,0.0,1.0002557787144992,1.0004497673417834,carbon,3.0,150.0,19.96008790844301
145.0,0.021268651723698694,0.9,0.0,1.0002557787144992,1.0003610831513572,carbon,3.0,150.0,19.96008790844301
145.0,0.021268651723698694,1.0,0.0,1.0002557787144992,1.0003003080795103,carbon,3.0,150.0,19.96008790844301
145.0,0.021268651723698694,1.25,0.0,1.0002557787144992,1.0002135324926722,carbon,3.0,150.0,19.96008790844301
145.0,0.021268651723698694,1.5,0.0,1.0002557787144992,1.000171294516833,carbon,3.0,150.0,19.96008790844301
165.0,0.019467938033115657,0.8,0.0,1.0002341255796174,1.000406143628366,carbon,3.0,150.0,18.26561402530715
165.0,0.019467938033115657,0.9,0.0,1.0002341255796174,1.0003260234885354,carbon,3.0,150.0,18.26561402530715
165.0,0.019467938033115657,1.0,0.0,1.0002341255796174,1.000271121083585,carbon,3.0,150.0,18.26561402530715
165.0,0.019467938033115657,1.25,0.0,1.0002341255796174,1.0001927357057578,carbon,3.0,150.0,18.26561402530715
165.0,0.019467938033115657,1.5,0.0,1.0002341255796174,1.000154582214843,carbon,3.0,150.0,18.26561402530715
185.0,0.018045303723293306,0.8,0.0,1.0002170185658321,1.0003720279471982,carbon,3.0,150.0,16.925270811266728
185.0,0.018045303723293306,0.9,0.0,1.0002170185658321,1.000298608169403,carbon,3.0,150.0,16.925270811266728
185.0,0.018045303723293306,1.0,0.0,1.0002170185658321,1.0002483001503917,carbon,3.0,150.0,16.925270811266728
185.0,0.018045303723293306,1.25,0.0,1.0002170185658321,1.0001764783295388,carbon,3.0,150.0,16.925270811266728
185.0,0.018045303723293306,1.5,0.0,1.0002170185658321,1.0001415200460373,carbon,3.0,150.0,16.925270811266728
205.0,0.016890363441849594,0.8,0.0,1.0002031299564826,1.0003445729637612,carbon,3.0,150.0,15.838142625964563
205.0,0.016890363441849594,0.9,0.0,1.0002031299564826,1.0002765473748034,carbon,3.0,150.0,15.838142625964563
205.0,0.016890363441849594,1.0,0.0,1.0002031299564826,1.0002299379125126,carbon,3.0,150.0,15.838142625964563
205.0,0.016890363441849594,1.25,0.0,1.0002031299564826,1.0001633995967518,carbon,3.0,150.0,15.838142625964563
205.0,0.016890363441849594,1.5,0.0,1.0002031299564826,1.0001310133543,carbon,3.0,150.0,15.838142625964563
225.0,0.01593140079742349,0.8,0.0,1.0001915982815768,1.0003219543704516,carbon,3.0,150.0,14.939529472401658
225.0,0.01593140079742349,0.9,0.0,1.0001915982815768,1.000258374191402,carbon,3.0,150.0,14.939529472401658
225.0,0.01593140079742349,1.0,0.0,1.0001915982815768,1.0002148126078365,carbon,3.0,150.0,14.939529472401658
225.0,0.01593140079742349,1.25,0.0,1.0001915982815768,1.0001526280898796,carbon,3.0,150.0,14.939529472401658
225.0,0.01593140079742349,1.5,0.0,1.0001915982815768,1.0001223612842776,carbon,3.0,150.0,14.939529472401658
245.0,0.015126775809979232,0.8,0.0,1.0001819223432906,1.000303087180788,carbon,3.0,150.0,14.184371252254019
245.0,0.015126775809979232,0.9,0.0,1.0001819223432906,1.0002432160769177,carbon,3.0,150.0,14.184371252254019
245.0,0.015126775809979232,1.0,0.0,1.0001819223432906,1.0002021974293276,carbon,3.0,150.0,14.184371252254019
245.0,0.015126775809979232,1.25,0.0,1.0001819223432906,1.0001436452866657,carbon,3.0,150.0,14.184371252254019
245.0,0.015126775809979232,1.5,0.0,1.0001819223432906,1.0001151467168032,carbon,3.0,150.0,14.184371252254019
265.0,0.014445180371893525,0.8,0.0,1.000173725921142,1.000287173948266,carbon,3.0,150.0,13.540461078690438
265.0,0.014445180371893525,0.9,0.0,1.000173725921142,1.0002304318459614,carbon,3.0,150.0,13.540461078690438
265.0,0.014445180371893525,1.0,0.0,1.000173725921142,1.0001915583739822,carbon,3.0,150.0,13.540461078690438
265.0,0.014445180371893525,1.25,0.0,1.000173725921142,1.0001360703533475,carbon,3.0,150.0,13.540461078690438
265.0,0.014445180371893525,1.5,0.0,1.000173725921142,1.0001090633869247,carbon,3.0,150.0,13.540461078690438
5.0,0.28599502759623263,0.8,0.0,1.0032374516839486,1.0093640705906157,carbon,3.0,175.0,271.79344158091214
5.0,0.28599502759623263,0.9,0.0,1.0032374516839486,1.007536092873614,carbon,3.0,175.0,271.79344158091214
5.0,0.28599502759623263,1.0,0.0,1.0032374516839486,1.0062799794970885,carbon,3.0,175.0,271.79344158091214
5.0,0.28599502759623263,1.25,0.0,1.0032374516839486,1.0044822034432357,carbon,3.0,175.0,271.79344158091214
5.0,0.28599502759623263,1.5,0.0,1.0032374516839486,1.0036072317385505,carbon,3.0,175.0,271.79344158091214
25.0,0.08250539715068914,0.8,0.0,1.0008981265336636,1.002058513147929,carbon,3.0,175.0,77.77696946605748
