,E_MeV_u,voltage_V,electrode_gap_cm,particle,grid_size_um,numba_parallel_time,numba_time,cython_time
0,250,50,0.5,proton,10,0.2788214683532715,0.5117976665496826,1.4716072082519531
1,250,100,0.5,proton,10,0.19877076148986816,0.38106727600097656,1.0981988906860352
2,250,150,0.5,proton,10,0.17843317985534668,0.34230470657348633,0.9861667156219482
3,250,200,0.5,proton,10,0.16802740097045898,0.32257628440856934,0.9300327301025391
4,250,250,0.5,proton,10,0.1633918285369873,0.31298828125,0.9023284912109375
5,250,300,0.5,proton,10,0.16141343116760254,0.30559611320495605,0.8803801536560059
