,E_MeV_u,voltage_V,electrode_gap_cm,particle,grid_size_um,numba_parallel_time,numba_time,cython_time
0,10,300,0.5,proton,10,0.16234421730041504,0.30573511123657227,0.8803517818450928
1,50,300,0.5,proton,10,0.16171479225158691,0.305495023727417,0.8804183006286621
2,100,300,0.5,proton,10,0.16266417503356934,0.30529117584228516,0.8803932666778564
3,150,300,0.5,proton,10,0.16186070442199707,0.3053121566772461,0.8802385330200195
4,200,300,0.5,proton,10,0.16191840171813965,0.3055417537689209,0.8805313110351562
5,250,300,0.5,proton,10,0.18465876579284668,0.3052680492401123,0.8804018497467041
